fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
8jun15_23apr15_PWD_f2_sp1_13_rev,62,7.1554,0.11452,29,8jun15_23apr15_PWD_f2_sp1_13_rev_29,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_14_rev,133,2.3529,0.017656,3,8jun15_23apr15_PWD_f2_sp1_14_rev_3,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_14_rev,106,2.1683,0.020414,8,8jun15_23apr15_PWD_f2_sp1_14_rev_8,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_14_rev,238,3.4114,0.014332,15,8jun15_23apr15_PWD_f2_sp1_14_rev_15,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_14_rev,67,1.791,0.026629,19,8jun15_23apr15_PWD_f2_sp1_14_rev_19,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_15_rev,55,4.4407,0.080185,15,8jun15_23apr15_PWD_f2_sp1_15_rev_15,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_15_rev,75,6.2375,0.083057,19,8jun15_23apr15_PWD_f2_sp1_15_rev_19,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,100,5.3328,0.053352,1,8jun15_23apr15_PWD_f2_sp1_17_rev_1,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,111,2.4615,0.022172,3,8jun15_23apr15_PWD_f2_sp1_17_rev_3,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,91,2.463,0.027078,6,8jun15_23apr15_PWD_f2_sp1_17_rev_6,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,61,2.2581,0.037272,7,8jun15_23apr15_PWD_f2_sp1_17_rev_7,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,75,3.7078,0.049247,9,8jun15_23apr15_PWD_f2_sp1_17_rev_9,0,,,,,,,,
