"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","avergeRED","numberCrossOvers","boxNumber","foci_ABS_Position_1","Obj.ID","mouse","strain","subsp","sex","category","SC.pass","foci.pass","curated.1pass.0fail","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes"
"12oct18_26sep18_CZECH_m1_sp1_12_rev",61,3.0508,0.049959,0.56318,3,18,4,"12oct18_26sep18_CZECH_m1_sp1_12_rev_18","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",64,4.9827,0.07815,0.59384,6,19,4,"12oct18_26sep18_CZECH_m1_sp1_12_rev_19","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",51,5.9718,0.11678,0.60095,6,2,6,"12oct18_26sep18_CZECH_m1_sp1_12_rev_2","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",96,4.8206,0.050131,0.51121,5,20,5,"12oct18_26sep18_CZECH_m1_sp1_12_rev_20","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",56,2.6087,0.046475,0.53954,6,21,3,"12oct18_26sep18_CZECH_m1_sp1_12_rev_21","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",46,4.636,0.10113,0.53444,3,22,5,"12oct18_26sep18_CZECH_m1_sp1_12_rev_22","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",92,5.9217,0.064679,0.51397,7,23,6,"12oct18_26sep18_CZECH_m1_sp1_12_rev_23","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",64,3.5821,0.055785,0.54941,3,24,4,"12oct18_26sep18_CZECH_m1_sp1_12_rev_24","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",76,5.7097,0.075043,0.54399,3,25,2,"12oct18_26sep18_CZECH_m1_sp1_12_rev_25","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",46,3.9238,0.08534,0.57786,2,27,4,"12oct18_26sep18_CZECH_m1_sp1_12_rev_27","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",66,5.7871,0.087199,0.52751,4,28,6,"12oct18_26sep18_CZECH_m1_sp1_12_rev_28","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",52,2.7778,0.053398,0.56656,2,29,3,"12oct18_26sep18_CZECH_m1_sp1_12_rev_29","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",95,5.2425,0.055054,0.60139,8,3,3,"12oct18_26sep18_CZECH_m1_sp1_12_rev_3","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",61,5.5941,0.091429,0.49048,3,30,5,"12oct18_26sep18_CZECH_m1_sp1_12_rev_30","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",97,5.0429,0.051929,0.49763,4,31,2,"12oct18_26sep18_CZECH_m1_sp1_12_rev_31","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",101,4.0531,0.040049,0.52136,5,32,5,"12oct18_26sep18_CZECH_m1_sp1_12_rev_32","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",46,5.1534,0.11325,0.50088,5,33,4,"12oct18_26sep18_CZECH_m1_sp1_12_rev_33","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",88,3.5325,0.040346,0.47569,5,34,3,"12oct18_26sep18_CZECH_m1_sp1_12_rev_34","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",72,5.5568,0.0769,0.55084,5,35,7,"12oct18_26sep18_CZECH_m1_sp1_12_rev_35","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",101,14.2185,0.14051,0.60013,9,4,5,"12oct18_26sep18_CZECH_m1_sp1_12_rev_4","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",88,5.2722,0.060097,0.5852,3,5,4,"12oct18_26sep18_CZECH_m1_sp1_12_rev_5","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",72,4.828,0.067075,0.58301,2,6,9,"12oct18_26sep18_CZECH_m1_sp1_12_rev_6","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",64,4.6265,0.072686,0.56843,1,9,34,"12oct18_26sep18_CZECH_m1_sp1_12_rev_9","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",65,4.4411,0.067809,0.65631,3,10,16,"12oct18_26sep18_CZECH_m1_sp1_13_rev_10","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",90,7.8351,0.08658,0.63396,3,11,4,"12oct18_26sep18_CZECH_m1_sp1_13_rev_11","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",73,8.4116,0.11448,0.63233,1,13,66,"12oct18_26sep18_CZECH_m1_sp1_13_rev_13","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",108,4.8092,0.044454,0.5683,2,17,1,"12oct18_26sep18_CZECH_m1_sp1_13_rev_17","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",101,7.0259,0.069419,0.60731,8,18,5,"12oct18_26sep18_CZECH_m1_sp1_13_rev_18","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",111,7.7473,0.069735,0.52136,3,19,16,"12oct18_26sep18_CZECH_m1_sp1_13_rev_19","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
