return5,fileName,boxNumber,centromere,SC length,rank,chrm.class,hand.foci.count,F1,F2,F3,notes,,
,30jul15_12jun15_WSB_m2_sp1_7.2_rev,blob5,,52.702,,autosome,1,49.842,,,,,
,27oct16_31aug16_MSM_m1_sp1_26,blob_13,,70.298,,autosome,1,49.815,,,,,
,28jul15_22jun15_G_m2_sp1_4_rev,blob15,,63.169,,autosome,1,49.748,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob17,,94.848,,autosome,1,49.422,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob20,,87.517,,autosome,1,49.351,,,,,
,30jul15_12jun15_WSB_m2_sp1_7.2_rev,blob16,,61.013,,autosome,1,49.326,,,,,
,4dec14_8oct14_PWD_f1_sp1_16_rev,blob20,,47.563,,autosome,1,49.306,,,,,
,7feb17_20dec16_LEW_m2_sp1_20_rev,blob14,,67.677,,autosome,1,49.175,,,,,
,14oct16_30jun16_CAST_m3_sp1_3.2,blob_2,,79.803,8,autosome,1,49.155,,,,,
,3aug17_8may17_LEW_m2_sp1_5_rev,blob8,,102.111,,autosome,1,49.146,,,,,
,30jul15_12jun15_WSB_m2_sp1_3_rev,blob14,,62.397,,autosome,1,49.092,,,,,
,29nov16_13nov16_MSM_f1_sp1_24.1_rev,blob11,,68.462,,autosome,1,48.904,,,,,
,3aug17_8may17_LEW_m2_sp1_5_rev,blob18,,80.261,,autosome,1,48.818,,,,,
,13jul15_12jun15_WSB_f1_sp1_13_rev,blob17,,79.901,,autosome,1,48.741,,,,,
,4dec14_8oct14_PWD_f1_sp1_16_rev,blob16,,84.994,,autosome,1,48.348,,,maybe faint CO (2CO),,
,28jul15_22jun15_G_m2_sp1_3_rev,blob18,,79.691,,autosome,1,48.183,,,,,
,20jul15_18may15_PWD_m1_sp1_2.2_rev,blob2,,52.744,,autosome,1,48.094,,,,,
,28jul15_22jun15_G_m2_sp1_4_rev,blob7,,79.323,,autosome,1,47.686,,,,,
,20jul15_18may15_PWD_m1_sp1_6.1_rev,blob16,,64.084,,autosome,1,47.67,,,,,
,22nov16_30sep16_MSM_f2_sp1_22_rev,blob11,,73.55,,autosome,1,47.607,,,,,
,30jul15_12jun15_WSB_m2_sp1_7.2_rev,blob3,,71.782,,autosome,1,47.599,,,,,
,22mar15_10mar15_PWD_m2_sp1_15_rev,blob8,,52.294,,autosome,1,47.524,,,,,
,28jul15_22jun15_G_m2_sp1_3_rev,blob15,,75.586,,autosome,1,47.396,,,,,
,28jul15_22jun15_G_m2_sp1_4_rev,blob1,,69.085,,autosome,1,47.097,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob4,,62.49,,autosome,1,47.058,,,,,
,3aug17_8may17_LEW_m2_sp1_3_rev,blob13,,90.746,,autosome,1,47.008,,,,,
,3aug17_8may17_LEW_m2_sp1_5_rev,blob2,,74.9,,autosome,1,46.827,,,,,
,8jun15_23apr15_PWD_f2_sp1_20_rev,blob11,,51.279,,autosome,1,46.737,,,,,
,27oct16_31aug16_MSM_m1_sp1_9_rev,blob9,,68.005,,autosome,1,46.661,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob1,,71.846,,autosome,1,46.631,,,,,
