fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,Obj.ID,mouse,category,strain,sex,subsp
20jul15_18may15_PWD_m2_sp1_16.2_rev,83,5.2374,0.063459,0.65513,2,10,20jul15_18may15_PWD_m2_sp1_16.2_rev_10,1,0,0,,1,63,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,113,6.2071,0.054761,0.54162,4,11,20jul15_18may15_PWD_m2_sp1_16.2_rev_11,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_11,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,84,4.8205,0.057452,0.55094,3,14,20jul15_18may15_PWD_m2_sp1_16.2_rev_14,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_14,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,86,4.7198,0.054627,0.53338,1,15,20jul15_18may15_PWD_m2_sp1_16.2_rev_15,1,1,1,,1,57,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_15,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,57,5.3266,0.092974,0.51358,1,16,20jul15_18may15_PWD_m2_sp1_16.2_rev_16,1,1,1,,1,47,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_16,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,82,5.0093,0.060844,0.5641,3,17,20jul15_18may15_PWD_m2_sp1_16.2_rev_17,1,0,0,,2,28,79,,20jul15_18may15_PWD_m2_sp1_16.2_rev_17,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,58,8.0884,0.13841,0.66807,1,2,20jul15_18may15_PWD_m2_sp1_16.2_rev_2,1,1,1,,1,32,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_2,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,81,4.8099,0.05913,0.62403,3,3,20jul15_18may15_PWD_m2_sp1_16.2_rev_3,1,0,0,,1,63,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_3,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,90,5.5104,0.061164,0.5843,2,4,20jul15_18may15_PWD_m2_sp1_16.2_rev_4,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_4,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,102,6.0572,0.059522,0.64939,6,5,20jul15_18may15_PWD_m2_sp1_16.2_rev_5,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_5,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,88,7.9766,0.090609,0.58355,1,7,20jul15_18may15_PWD_m2_sp1_16.2_rev_7,1,1,1,,1,67,,,20jul15_18may15_PWD_m2_sp1_16.2_rev_7,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,92,1.875,0.020468,0.73409,4,1,20jul15_18may15_PWD_m2_sp1_17_rev_1,1,0,0,,1,37,,,20jul15_18may15_PWD_m2_sp1_17_rev_1,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,101,5.2633,0.052183,0.60127,2,10,20jul15_18may15_PWD_m2_sp1_17_rev_10,1,1,1,,2,39,85,,20jul15_18may15_PWD_m2_sp1_17_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
