fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,foci_ABS_Position_1,mouse,strain,sex,category,Obj.ID
26jan18_11jan18_KAZ_m3_sp1_17_rev,77,4.0625,0.052605,0.55247,6,8,26jan18_11jan18_KAZ_m3_sp1_17_rev_8,1,0,0,,2,11,76,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_8
26jan18_11jan18_KAZ_m3_sp1_17_rev,90,2.2857,0.025479,0.56218,6,9,26jan18_11jan18_KAZ_m3_sp1_17_rev_9,1,0,0,faint  foci,,,,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_9
26jan18_11jan18_KAZ_m3_sp1_18_rev,100,6.7714,0.067679,0.57186,5,1,26jan18_11jan18_KAZ_m3_sp1_18_rev_1,1,0,0,,1,67,,,22,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_1
26jan18_11jan18_KAZ_m3_sp1_18_rev,105,7.3952,0.070348,0.5528,2,10,26jan18_11jan18_KAZ_m3_sp1_18_rev_10,1,,,foci near centromere?,2,4,32,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_10
26jan18_11jan18_KAZ_m3_sp1_18_rev,75,4.4939,0.059577,0.52913,3,11,26jan18_11jan18_KAZ_m3_sp1_18_rev_11,1,,,green bloch,,,,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_11
26jan18_11jan18_KAZ_m3_sp1_18_rev,56,6.3359,0.11357,0.51528,3,13,26jan18_11jan18_KAZ_m3_sp1_18_rev_13,1,0,0,,1,38,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_13
26jan18_11jan18_KAZ_m3_sp1_18_rev,132,8.8283,0.067126,0.58105,16,15,26jan18_11jan18_KAZ_m3_sp1_18_rev_15,0,,,,,,,,5,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_15
26jan18_11jan18_KAZ_m3_sp1_18_rev,98,7.9159,0.080792,0.47342,3,16,26jan18_11jan18_KAZ_m3_sp1_18_rev_16,1,0,0,,1,62,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_16
26jan18_11jan18_KAZ_m3_sp1_18_rev,83,1.9355,0.023267,0.48478,2,17,26jan18_11jan18_KAZ_m3_sp1_18_rev_17,1,1,1,,2,8,75,,8,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_17
26jan18_11jan18_KAZ_m3_sp1_18_rev,77,8.8964,0.11627,0.46747,1,18,26jan18_11jan18_KAZ_m3_sp1_18_rev_18,1,1,1,,1,27,,,27,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_18
26jan18_11jan18_KAZ_m3_sp1_18_rev,64,6.3643,0.0999,0.59884,2,2,26jan18_11jan18_KAZ_m3_sp1_18_rev_2,1,0,0,,1,54,,,6,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_2
26jan18_11jan18_KAZ_m3_sp1_18_rev,95,1.9718,0.020655,0.57269,5,3,26jan18_11jan18_KAZ_m3_sp1_18_rev_3,1,0,0,,2,14,36,,1,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_3
26jan18_11jan18_KAZ_m3_sp1_18_rev,57,2.4138,0.042169,0.59116,3,4,26jan18_11jan18_KAZ_m3_sp1_18_rev_4,1,0,0,,1,52,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_4
26jan18_11jan18_KAZ_m3_sp1_18_rev,65,2.5806,0.039717,0.58119,5,6,26jan18_11jan18_KAZ_m3_sp1_18_rev_6,0,,,,,,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_6
26jan18_11jan18_KAZ_m3_sp1_18_rev,85,2.2857,0.026981,0.55927,4,7,26jan18_11jan18_KAZ_m3_sp1_18_rev_7,1,0,0,,1,76,,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_7
26jan18_11jan18_KAZ_m3_sp1_18_rev,89,3.6696,0.041232,0.5624,4,9,26jan18_11jan18_KAZ_m3_sp1_18_rev_9,1,0,0,,1,45,,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_18_rev_9
26jan18_11jan18_KAZ_m3_sp1_19_rev,96,4.2424,0.044155,0.56733,5,1,26jan18_11jan18_KAZ_m3_sp1_19_rev_1,1,0,0,,2,13,88,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_19_rev_1
