Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO crop,XY paired,achiasmate,asynased,notes
Batch0,,20jul15_18may15_PWD_m1_sp1_10_rev.tif,30771-22627-25037.tif,1,20,27,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_13_rev.tif,30283-23181-27845.tif,2,20,29,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_14_rev.tif,19603-12152-28364.tif,3,20,27,yes,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_15.1_rev.tif,27640-10606-24265.tif,1,20,30,no,yes,0,0,nonhomlog tangle
Batch0,,20jul15_18may15_PWD_m1_sp1_15.2_rev.tif,3953-32132-7318.tif,1,20,31,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_16.1_rev.tif,1833-9480-21463.tif,1,20,34,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_18.1_rev.tif,2709-18315-11531.tif,2,20,32,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_19_rev.tif,10133-30283-20700.tif,2,20,31,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_2.1_rev.tif,30773-13040-26807.tif,2,20,34,no,yes,0,0,non homologous tangle
Batch0,,20jul15_18may15_PWD_m1_sp1_2.2_rev.tif,27374-14678-20459.tif,1,20,31,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_20.3_rev.tif,17395-18677-15696.tif,2,20,31,no,yes,0,0,some SC holes
Batch0,,20jul15_18may15_PWD_m1_sp1_21_rev.tif,8714-2736-14258.tif,2,20,30,no,yes,0,0,nonhomlog tangle
Batch0,,20jul15_18may15_PWD_m1_sp1_23.1_rev.tif,14721-8324-20824.tif,1,20,27,no,1CO,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_23.2_rev.tif,19380-15045-1301.tif,2,20,29,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_25_rev.tif,31140-2651-19456.tif,1,20,29,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_28_rev.tif,20070-18724-2890.tif,1,20,31,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_29.1_rev.tif,17705-4165-6072.tif,2,20,32,no,yes,0,0,maybe non-homologous tangle
Batch0,,20jul15_18may15_PWD_m1_sp1_29.2_rev.tif,3641-28318-614.tif,1,20,30,no,yes,0,0,non homolog tangle
Batch0,,20jul15_18may15_PWD_m1_sp1_3_rev.tif,3590-4059-22321.tif,,20,34,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_30_rev.tif,5094-25661-17653.tif,1,20,37,no,yes,0,0,possible nonhomlog tangle
Batch0,,20jul15_18may15_PWD_m1_sp1_6.1_rev.tif,28995-25463-29460.tif,2,20,29,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_6.2_rev.tif,11014-17027-8958.tif,2,20,31,no,1 CO,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_7.2_rev.tif,7653-25751-1276.tif,4,20,34,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_8_rev.tif,13899-23315-12812.tif,3,20,29,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_9.2_rev.tif,20191-32284-24179.tif,3,20,31,no,yes,0,0,SC structure is not very concrete
Batch0,,20jul15_18may15_PWD_m2_sp1_11.1_rev.tif,10865-7057-4230.tif,2,20,28,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m2_sp1_14.2_rev.tif,12951-16261-3242.tif,1,20,30,no,1CO,0,0,SC a little helixy. Possible non-homologus crossing over
Batch0,,20jul15_18may15_PWD_m2_sp1_16.3_rev.tif,19939-7862-31306.tif,4,20,27,no,yes,0,0,SC structure is bad
Batch0,,20jul15_18may15_PWD_m2_sp1_18_rev.tif,9624-12541-20625.tif,2,20,34,no,yes,0,0,nonhomlogous tangle
Batch0,,20jul15_18may15_PWD_m2_sp1_19_rev.tif,12153-4358-3076.tif,3,20,28,no,yes,0,0,possible non-homlogus tangle
Batch0,,20jul15_18may15_PWD_m2_sp1_23.1_rev.tif,932-2835-29893.tif,3,20,23,no,yes,0,0,possible non homolog tangle
Batch0,,20jul15_18may15_PWD_m2_sp1_24.1_rev.tif,32289-31586-12688.tif,2,20,32,no,yes,0,0,nonhomlog tangle
Batch0,,20jul15_18may15_PWD_m2_sp1_3.1_rev.tif,13050-28392-32128.tif,2,20,30,no,yes,0,0,
