fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,
6mar15_1mar15_PWD_m1_sp4_4_rev,83,4.934,0.059531,17,6mar15_1mar15_PWD_m1_sp4_4_rev_17,1,0,0,,2,34,80,,
6mar15_1mar15_PWD_m1_sp4_4_rev,90,4.4999,0.049972,2,6mar15_1mar15_PWD_m1_sp4_4_rev_2,1,0,0,,2,31,81,,
6mar15_1mar15_PWD_m1_sp4_4_rev,62,5.1965,0.084126,3,6mar15_1mar15_PWD_m1_sp4_4_rev_3,1,0,0,faint foci,1,44,,,
6mar15_1mar15_PWD_m1_sp4_4_rev,97,7.7438,0.080169,4,6mar15_1mar15_PWD_m1_sp4_4_rev_4,1,0,0,,2,29,81,,
6mar15_1mar15_PWD_m1_sp4_4_rev,116,5.9758,0.051343,5,6mar15_1mar15_PWD_m1_sp4_4_rev_5,1,0,0,,2,37,101,,
6mar15_1mar15_PWD_m1_sp4_4_rev,78,4.4692,0.057216,6,6mar15_1mar15_PWD_m1_sp4_4_rev_6,1,0,0,,2,31,67,,
6mar15_1mar15_PWD_m1_sp4_4_rev,71,4.4129,0.062239,7,6mar15_1mar15_PWD_m1_sp4_4_rev_7,1,1,1,,2,34,62,,
6mar15_1mar15_PWD_m1_sp4_4_rev,102,6.2415,0.061445,8,6mar15_1mar15_PWD_m1_sp4_4_rev_8,1,0,0,,2,15,95,,
6mar15_1mar15_PWD_m1_sp4_4_rev,55,6.3347,0.11463,9,6mar15_1mar15_PWD_m1_sp4_4_rev_9,1,0,0,,1,46,,,
6mar15_1mar15_PWD_m1_sp4_5_rev,90,7.0834,0.078422,1,6mar15_1mar15_PWD_m1_sp4_5_rev_1,1,1,1,offset blue channels,2,27,72,,
6mar15_1mar15_PWD_m1_sp4_5_rev,84,4.8893,0.058086,11,6mar15_1mar15_PWD_m1_sp4_5_rev_11,1,1,1,,2,11,70,,
6mar15_1mar15_PWD_m1_sp4_5_rev,72,1.2698,0.017515,13,6mar15_1mar15_PWD_m1_sp4_5_rev_13,1,0,0,,2,13,53,,
6mar15_1mar15_PWD_m1_sp4_5_rev,88,2.3188,0.02646,15,6mar15_1mar15_PWD_m1_sp4_5_rev_15,1,1,1,,2,17,71,,
6mar15_1mar15_PWD_m1_sp4_5_rev,94,7.2835,0.077865,2,6mar15_1mar15_PWD_m1_sp4_5_rev_2,1,1,1,,1,83,,,
6mar15_1mar15_PWD_m1_sp4_5_rev,125,0.3125,0.0025036,3,6mar15_1mar15_PWD_m1_sp4_5_rev_3,1,0,0,,1,121,,,
6mar15_1mar15_PWD_m1_sp4_5_rev,53,8.8189,0.16582,4,6mar15_1mar15_PWD_m1_sp4_5_rev_4,1,1,1,,1,17,,,
6mar15_1mar15_PWD_m1_sp4_5_rev,107,9.5176,0.089328,5,6mar15_1mar15_PWD_m1_sp4_5_rev_5,1,1,1,,2,56,96,,
6mar15_1mar15_PWD_m1_sp4_5_rev,57,8.6967,0.15238,6,6mar15_1mar15_PWD_m1_sp4_5_rev_6,1,1,1,,1,50,,,
6mar15_1mar15_PWD_m1_sp4_5_rev,62,0.63492,0.010281,8,6mar15_1mar15_PWD_m1_sp4_5_rev_8,1,0,0,,1,47,,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,97,5.9755,0.061812,1,6mar15_1mar15_PWD_m1_sp4_6.1_rev_1,1,0,0,,2,29,87,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,42,6.0569,0.14417,10,6mar15_1mar15_PWD_m1_sp4_6.1_rev_10,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,93,4.259,0.045714,11,6mar15_1mar15_PWD_m1_sp4_6.1_rev_11,1,1,1,,2,17,80,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,86,4.5622,0.052796,12,6mar15_1mar15_PWD_m1_sp4_6.1_rev_12,1,0,0,faint second foci,1,77,,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,98,8.1312,0.08288,2,6mar15_1mar15_PWD_m1_sp4_6.1_rev_2,1,0,0,,2,20,77,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,118,4.7031,0.03971,5,6mar15_1mar15_PWD_m1_sp4_6.1_rev_5,1,0,0,,2,18,109,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,57,6.6097,0.11498,6,6mar15_1mar15_PWD_m1_sp4_6.1_rev_6,1,1,1,,1,47,,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,63,6.1175,0.097419,7,6mar15_1mar15_PWD_m1_sp4_6.1_rev_7,1,1,1,,1,53,,,
6mar15_1mar15_PWD_m1_sp4_6.1_rev,106,5.1588,0.048819,9,6mar15_1mar15_PWD_m1_sp4_6.1_rev_9,1,0,0,small kink at the end,2,30,104,,
6mar15_1mar15_PWD_m1_sp4_6.2_rev,113,4.6377,0.041187,10,6mar15_1mar15_PWD_m1_sp4_6.2_rev_10,1,,,small kink at the end,1,75,,,
6mar15_1mar15_PWD_m1_sp4_6.2_rev,65,6.9456,0.10692,11,6mar15_1mar15_PWD_m1_sp4_6.2_rev_11,1,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_6.2_rev,115,5.4644,0.047485,12,6mar15_1mar15_PWD_m1_sp4_6.2_rev_12,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_6.2_rev,105,6.9332,0.066144,13,6mar15_1mar15_PWD_m1_sp4_6.2_rev_13,1,0,0,,1,96,,,
6mar15_1mar15_PWD_m1_sp4_6.2_rev,111,3.8863,0.034998,7,6mar15_1mar15_PWD_m1_sp4_6.2_rev_7,1,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_6.2_rev,89,4.9367,0.055636,9,6mar15_1mar15_PWD_m1_sp4_6.2_rev_9,1,0,0,,1,25,,,
6mar15_1mar15_PWD_m1_sp4_7_rev,81,5.0168,0.061609,1,6mar15_1mar15_PWD_m1_sp4_7_rev_1,1,,,"several foci on this one, noise?",,,,,
6mar15_1mar15_PWD_m1_sp4_7_rev,74,3.1836,0.043265,10,6mar15_1mar15_PWD_m1_sp4_7_rev_10,1,0,0,,1,64,,,
6mar15_1mar15_PWD_m1_sp4_7_rev,78,3.9602,0.050697,11,6mar15_1mar15_PWD_m1_sp4_7_rev_11,1,,,"several foci on this one, noise?",,,,,
