"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","boxNumber","Obj.ID","SC.pass","foci.pass","curated.1pass.0fail.","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes","mouse","category"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",95,5.1965,0.05469,2,"23jul19_28sep18_CZECH_m2_sp1_11_rev_2","1","0","","","1","35","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",78,4.9807,0.0637,20,"23jul19_28sep18_CZECH_m2_sp1_11_rev_20","1","0","","","1","70","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",98,3.1737,0.032375,3,"23jul19_28sep18_CZECH_m2_sp1_11_rev_3","1","0","","","2","52","88","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",101,7.4113,0.073217,4,"23jul19_28sep18_CZECH_m2_sp1_11_rev_4","1","0","","","2","33","89","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",74,3.1429,0.042255,5,"23jul19_28sep18_CZECH_m2_sp1_11_rev_5","1","0","","","1","68","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",102,6.5588,0.06446,6,"23jul19_28sep18_CZECH_m2_sp1_11_rev_6","1","0","","","1","27","","","faint foci","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",114,4.0793,0.0357,7,"23jul19_28sep18_CZECH_m2_sp1_11_rev_7","1","0","","","2","46","107","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",75,4.8285,0.064448,8,"23jul19_28sep18_CZECH_m2_sp1_11_rev_8","1","0","","","1","68","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",90,6.6205,0.073852,9,"23jul19_28sep18_CZECH_m2_sp1_11_rev_9","1","0","","","","","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_12_rev",50,2,0.039744,1,"23jul19_28sep18_CZECH_m2_sp1_12_rev_1","1","0","","","","","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_12_rev",98,4.7315,0.04828,10,"23jul19_28sep18_CZECH_m2_sp1_12_rev_10","1","1","","","2","24","71","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_12_rev",95,3.4393,0.036242,12,"23jul19_28sep18_CZECH_m2_sp1_12_rev_12","1","0","","","1","67","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_12_rev",109,2.3881,0.021978,13,"23jul19_28sep18_CZECH_m2_sp1_12_rev_13","1","0","","","3","23","33","88","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_12_rev",88,10.0106,0.11354,14,"23jul19_28sep18_CZECH_m2_sp1_12_rev_14","1","0","","","2","29","78","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_12_rev",73,8.5487,0.11724,19,"23jul19_28sep18_CZECH_m2_sp1_12_rev_19","1","0","","","1","31","","","","28sep18_CZECH_m2","CZECH male"
